Variable,Net_Carbon
502_2050_SHW3,42.88710546
502_2050_SHW4,41.2655077
503_2050_ASV,77.39372611
503_2050_NOMG,78.71453094
503_2050_SHW,44.77856183
503_2050_SHW3,42.13109732
503_2050_SHW4,45.38313675
504_2050_ASV,59.21913397
504_2050_NOMG,60.96349716
504_2050_SHW,35.63492084
504_2050_SHW3,34.42163444
504_2050_SHW4,36.9904933
505_2050_ASV,88.87069428
505_2050_NOMG,90.48040771
505_2050_SHW,50.89470673
505_2050_SHW3,47.72697544
505_2050_SHW4,51.99854851
506_2050_ASV,103.4397529
506_2050_CLC,51.28925514
506_2050_CLC3,44.16284752
506_2050_CLC4,47.32935143
506_2050_NOMG,104.2425842
506_2050_SDT3,47.32810211
506_2050_SDT4,51.52005386
506_2050_SDTR,54.02060986
506_2050_SHW,58.3444972
506_2050_SHW3,52.81907749
506_2050_SHW4,58.51506615
506_2050_THP,88.60924053
506_2050_THP3,79.72737694
506_2050_THP4,75.5740242
507_2050_ASV,62.03851151
507_2050_NOMG,63.51571655
508_2050_ASV,86.89139915
508_2050_CLC,36.26998901
508_2050_CLC3,32.21798134
508_2050_CLC4,36.36407471
508_2050_CTR,79.59308839
508_2050_CTR3,75.98569679
508_2050_CTR4,73.73908615
508_2050_CTS,79.8271203
508_2050_CTS3,75.97806644
508_2050_CTS4,73.57148838
508_2050_NOMG,87.6927948
508_2050_SDT3,35.2413311
508_2050_SDT4,40.50014114
508_2050_SDTR,39.6417551
510_2050_ASV,68.47102916
510_2050_CTR,65.34639728
510_2050_CTR3,62.23644876
510_2050_CTR4,59.06825638
510_2050_CTS,65.42134953
510_2050_CTS3,62.23638749
510_2050_CTS4,59.07413244
510_2050_NOMG,69.95761108
510_2050_RXB7,40.05496979
510_2050_RXBO,56.86790085
510_2050_SHW,41.34246397
510_2050_SHW3,38.30481386
510_2050_SHW4,40.55935669
511_2050_ASV,89.02199131
511_2050_CLC,35.81970215
511_2050_CLC3,31.92241955
511_2050_CLC4,37.05670166
511_2050_CTR,76.301157
511_2050_CTR3,70.83559704
511_2050_CTR4,67.29527092
511_2050_CTS,76.245224
511_2050_CTS3,70.90274906
511_2050_CTS4,67.29613686
511_2050_NOMG,90.172966
511_2050_SDT3,35.79375458
511_2050_SDT4,41.47193527
511_2050_SDTR,39.39163113
512_2050_ASV,46.28152776
512_2050_NOMG,48.03509521
513_2050_NOMG,56.99717712
515_2050_ASV,80.18788111
515_2050_CTR,68.21209383
515_2050_CTR3,65.2255702
515_2050_CTR4,63.177495
515_2050_CTS,68.32051563
515_2050_CTS3,65.26925659
515_2050_CTS4,63.17645979
515_2050_NOMG,81.48067474
515_2050_RXB7,50.39484787
515_2050_RXBO,69.40270233
515_2050_SHW,42.65408611
515_2050_SHW3,41.61271
515_2050_SHW4,46.09729099
515_2050_THP,69.98252797
515_2050_THP3,63.20975518
515_2050_THP4,59.91728592
516_2050_ASV,89.0965631
516_2050_CLC,44.29014301
516_2050_CLC3,36.49764442
516_2050_CLC4,38.11710739
516_2050_CTR,80.6614902
516_2050_CTR3,74.14075375
516_2050_CTR4,72.15695572
516_2050_CTS,80.65733981
516_2050_CTS3,74.1782589
516_2050_CTS4,71.91553402
516_2050_NOMG,90.05185699
516_2050_SDT3,38.99103165
516_2050_SDT4,41.93315601
516_2050_SDTR,46.49420643
517_2050_ASV,59.53900468
517_2050_NOMG,61.29377747
519_2050_ASV,64.16000605
519_2050_CTR,51.75850153
519_2050_CTR3,50.03944969
519_2050_CTR4,50.57653761
519_2050_CTS,51.87424755
519_2050_CTS3,50.20517015
519_2050_CTS4,50.63762379
519_2050_NOMG,65.76334381
519_2050_RXB7,34.49655533
519_2050_RXBO,51.91729355
519_2050_SHW,36.806108
519_2050_SHW3,34.89417934
519_2050_SHW4,37.75562668
519_2050_WEE,65.65576191
519_2050_WEE3,61.01244807
519_2050_WEE4,57.60518718
520_2050_ASV,54.51376843
520_2050_CTR,50.58982706
520_2050_CTR3,48.00859165
520_2050_CTR4,46.60331631
520_2050_CTS,50.71696651
520_2050_CTS3,47.99801302
520_2050_CTS4,46.62834835
520_2050_NOMG,55.95992661
520_2050_RXB7,31.98653412
520_2050_RXBO,46.05587387
520_2050_SDT3,24.51239491
520_2050_SDT4,28.28328991
520_2050_SDTR,24.87407303
520_2050_SHW,34.18282151
520_2050_SHW3,32.95120573
520_2050_SHW4,35.27024364
520_2050_WEE,55.95992661
520_2050_WEE3,54.97754505
520_2050_WEE4,50.74700069
602_2050_ASV,85.92171204
602_2050_NOMG,86.58091736
605_2050_ASV,88.92895174
605_2050_NOMG,90.43473816
606_2050_AWC,75.14649487
606_2050_AWC3,49.06105804
606_2050_AWC4,46.00954056
606_2050_CLC,24.68860817
606_2050_CLC3,27.53238964
606_2050_CLC4,38.66912079
606_2050_NOMG,95.74377441
606_2050_WF21,45.26670074
608_2050_AWC,53.6849308
608_2050_AWC3,43.82240677
608_2050_AWC4,37.66104507
608_2050_NOMG,68.64252472
701_2050_ASV,61.35693598
701_2050_NOMG,62.80709839
702_2050_ASV,56.51198721
702_2050_NOMG,58.14432144
703_2050_NOMG,61.96258926
704_2050_NOMG,24.33054543
705_2050_ASV,55.56989729
705_2050_NOMG,57.17394638
706_2050_ASV,56.81334198
706_2050_NOMG,58.6668129
707_2050_ASV,90.41172862
707_2050_NOMG,91.99868774
708_2050_ASV,39.55554903
708_2050_AWC,49.86152887
708_2050_AWC3,34.63322067
708_2050_AWC4,24.85578823
708_2050_NOMG,41.08781815
801_2050_ASV,76.85647321
801_2050_CTR,65.44320774
801_2050_CTR3,63.41473007
801_2050_CTR4,63.0949316
801_2050_CTS,65.53668547
801_2050_CTS3,63.5912323
801_2050_CTS4,63.09501266
801_2050_NOMG,78.35083008
801_2050_WEE,77.42103472
801_2050_WEE3,72.35688829
801_2050_WEE4,68.04420042
802_2050_ASV,31.45957088
802_2050_CLC,14.6681422
802_2050_CLC3,13.76555586
802_2050_CLC4,15.36394215
802_2050_CTR,32.9023056
802_2050_CTR3,32.9023056
802_2050_CTR4,32.80765915
802_2050_CTS,32.9023056
802_2050_CTS3,32.9023056
802_2050_CTS4,32.80765915
802_2050_NOMG,32.9023056
802_2050_SDT3,18.93014848
802_2050_SDT4,19.54053676
802_2050_SDTR,20.57656568
805_2050_ASV,85.68206728
805_2050_CTR,75.38862324
805_2050_CTR3,71.35342789
805_2050_CTR4,68.03283787
805_2050_CTS,75.42987156
805_2050_CTS3,71.39074135
805_2050_CTS4,68.01857853
805_2050_NOMG,86.65473938
809_2050_CLC,13.41644812
809_2050_CLC3,14.52302217
809_2050_CLC4,19.52481937
809_2050_NOMG,44.36055756
809_2050_WEE,44.36055756
809_2050_WEE3,44.36055756
809_2050_WEE4,44.34132385
901_2050_ASV,67.61996067
901_2050_CLC,21.91948175
901_2050_CLC3,23.64947414
901_2050_CLC4,31.00013733
901_2050_NOMG,69.76764679
901_2050_WEE,62.90115619
901_2050_WEE3,57.64262724
901_2050_WEE4,55.69109011
902_2050_NOMG,16.10848045
962_2050_ASV,106.5917335
962_2050_CLC,58.98543644
962_2050_CLC3,47.11264992
962_2050_CLC4,47.48870468
962_2050_CTR,96.98415375
962_2050_CTR3,93.99275064
962_2050_CTR4,87.61551476
962_2050_CTS,96.8411417
962_2050_CTS3,94.02427483
962_2050_CTS4,87.63263893
962_2050_NOMG,107.1740036
962_2050_RXB7,65.56208801
962_2050_RXBO,95.08190155
962_2050_SDT3,50.3226223
962_2050_SDT4,52.58566284
962_2050_SDTR,61.77161694
962_2050_SHW,65.39516449
962_2050_SHW3,55.91313076
962_2050_SHW4,60.15595818
962_2050_WEE,103.4826152
962_2050_WEE3,97.06879997
962_2050_WEE4,88.17892647
999_2050_ASV,6.898425817
999_2050_CAR,24.41226506
999_2050_CAR3,14.66179395
999_2050_CAR4,6.999308467
999_2050_NAR,20.46545148
999_2050_NAR3,10.8271023
999_2050_NAR4,5.641056299
999_2050_NOMG,8.422294617
999_2050_SAR,26.80853963
999_2050_SAR3,16.55791211
999_2050_SAR4,7.551243663
